,Block Group,Cencus Tract,Weighted HH Inc Int,Median HH Inc Int,Geoid1,Total (Household Count Census 2020.csv),Total: (Population Race P3 Census 2020.csv),% White,% Asian,% Two or More,% Black,% Other,% American Indian,% Pacific Islander,intptlat,intptlon,Shape__Area,Shape__Length
0,1,124.05,836,42383,6075012405,703,"1,332",38.4,15.3,10.1,17.0,17.6,1.4,0.2,37.7795195,-122.417462,3.01904674415709e-05,0.0241952179896579
1,1,176.02,2697,149483,6075017602,953,"1,898",28.7,37.8,7.0,14.0,11.0,1.4,0.2,37.7821241,-122.4070181,2.79441724160279e-05,0.0251623780602959
2,1,176.03,1527,73403,6075017603,741,"1,151",37.4,37.5,9.2,9.2,5.3,1.2,0.2,37.7763092,-122.4143407,2.54290212069463e-05,0.0238204898388352
3,1,176.04,2436,123944,6075017604,700,921,38.0,44.0,8.1,3.8,5.4,0.4,0.2,37.7798582,-122.4117434,1.14257600216661e-05,0.0154683166241112
4,1,177.0,1056,165789,6075017700,227,"1,041",44.9,22.4,8.5,14.2,8.5,0.8,0.7,37.768044,-122.4124918,9.24471964935947e-05,0.0479024189954166
5,1,178.01,349,13689,6075017801,909,"1,189",13.7,71.4,3.9,7.8,2.6,0.3,0.3,37.7820284,-122.4011589,2.18923933061888e-05,0.0192805695312699
6,1,178.03,2697,149483,6075017803,621,"1,070",38.9,23.5,12.1,13.8,8.8,2.1,0.9,37.773426,-122.4120419,1.94144931811024e-05,0.0179880999942075
7,1,178.04,3298,135026,6075017804,870,"1,866",38.2,33.2,9.4,8.6,10.0,0.6,0.1,37.7776291,-122.4067243,3.27558259414218e-05,0.0249179424841877
8,1,180.0,2345,136719,6075018000,611,880,39.8,43.0,8.3,1.4,7.3,0.3,0.0,37.7753353,-122.4022844,9.54664556047646e-05,0.0534065049868825
9,1,201.01,2690,94209,6075020101,"1,017","1,541",44.2,27.6,10.2,9.7,5.3,2.4,0.6,37.7702373,-122.4201473,3.12118090732838e-05,0.0234216615078436
10,1,226.0,8544,229713,6075022600,"1,325","2,390",50.0,34.3,9.2,2.8,3.1,0.5,0.1,37.7612744,-122.3841166,0.0001879535548141,0.0610670777632042
11,1,227.02,3622,216875,6075022702,595,"1,128",63.5,20.3,10.5,1.7,3.4,0.7,0.0,37.7626143,-122.3955143,3.0217533094401e-05,0.0219643205152717
12,1,227.04,6357,206042,6075022704,"1,099","1,601",57.3,21.3,14.2,3.2,3.2,0.5,0.2,37.7609519,-122.4019893,5.5684558901703e-05,0.0289232661228601
13,1,228.02,1305,134000,6075022802,347,824,41.3,23.4,15.3,3.4,14.8,1.1,0.7,37.7589131,-122.4062337,2.97791466437047e-05,0.0296418563678243
14,1,607.01,1715,99030,6075060701,617,"1,043",49.1,36.8,9.3,2.2,2.0,0.3,0.3,37.7743713,-122.3835948,0.0002080902750094,0.0673846737012472
