,Block Group,Cencus Tract,Weighted HH Inc Int,Median HH Inc Int,Geoid1,Weighted HH Inc,Median HH Income_x,Total (Household Count Census 2020.csv),Total: (Population Race P3 Census 2020.csv),Total: (Population Race P8 Census 2020.csv),Total:!!White alone,Total:!!Asian alone,Total:!!Two or More Races,Total:!!Black or African American alone,Total:!!Some Other Race alone,Total:!!American Indian and Alaska Native alone,Total:!!Native Hawaiian and Other Pacific Islander alone,% White,% Asian,% Two or More,% Black,% Other,% American Indian,% Pacific Islander,Median HH Income_y,23-24 K count,24-25 K count,Avg K Count,23-24 FRL K count,24-25 FRL K count,Avg FRL K Count,23-24 Asian,23-24 Hispanic,23-24 White,23-24 Black,23-24 Other,24-25 Asian,24-25 Hispanic,24-25 White,24-25 Black,24-25 Other,Avg K Asian,Avg K Hispanic,Avg K White,Avg K Black,Avg K Other,objectid,statefp,countyfp,trctce,geoid,name_,namelsad,mtfcc,funcstat,aland,awater,intptlat,intptlon,Shape__Area,Shape__Length
0,1,124.05,836,42383,6075012405,$836,"$42,383",703,"1,332","1,332",512,204,134,226,234,19,3,38.4%,15.3%,10.1%,17.0%,17.6%,1.4%,0.2%,"$42,383",5.0,8.0,7.0,4.0,,,0.0,3.0,0.0,1.0,1.0,0.0,4.0,0.0,2.0,2.0,0.0,4.0,0.0,2.0,2.0,698,6,75,,6075012405,124.05,Census Tract 124.05,G5020,S,295197,0,37.7795195,-122.417462,3.01904674415709e-05,0.0241952179896579
1,1,176.02,2697,149483,6075017602,$0,$0,953,"1,898","1,898",545,717,133,265,209,26,3,28.7%,37.8%,7.0%,14.0%,11.0%,1.4%,0.2%,,3.0,9.0,6.0,1.0,,,1.0,0.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,2.0,1.0,3.0,0.0,1.0,2.0,992,6,75,,6075017602,176.02,Census Tract 176.02,G5020,S,273225,0,37.7821241,-122.4070181,2.79441724160279e-05,0.0251623780602959
2,1,176.03,1527,73403,6075017603,"$1,527","$73,403",741,"1,151","1,151",430,432,106,106,61,14,2,37.4%,37.5%,9.2%,9.2%,5.3%,1.2%,0.2%,"$73,403",2.0,3.0,3.0,1.0,,,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,700,6,75,,6075017603,176.03,Census Tract 176.03,G5020,S,248651,0,37.7763092,-122.4143407,2.54290212069463e-05,0.0238204898388352
3,1,176.04,2436,123944,6075017604,"$2,436","$123,944",700,921,921,350,405,75,35,50,4,2,38.0%,44.0%,8.1%,3.8%,5.4%,0.4%,0.2%,"$123,944",5.0,1.0,3.0,4.0,,,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,796,6,75,,6075017604,176.04,Census Tract 176.04,G5020,S,111719,0,37.7798582,-122.4117434,1.14257600216661e-05,0.0154683166241112
4,1,177.0,1056,165789,6075017700,"$1,056","$165,789",227,"1,041","1,041",467,233,89,148,89,8,7,44.9%,22.4%,8.5%,14.2%,8.5%,0.8%,0.7%,"$165,789",0.0,2.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1043,6,75,,6075017700,177.0,Census Tract 177,G5020,S,904078,0,37.768044,-122.4124918,9.24471964935947e-05,0.0479024189954166
5,1,178.01,349,13689,6075017801,$349,"$13,689",909,"1,189","1,189",163,849,46,93,31,4,3,13.7%,71.4%,3.9%,7.8%,2.6%,0.3%,0.3%,"$13,689",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1718,6,75,,6075017801,178.01,Census Tract 178.01,G5020,S,214051,0,37.7820284,-122.4011589,2.18923933061888e-05,0.0192805695312699
6,1,178.03,2697,149483,6075017803,$0,$0,621,"1,070","1,070",416,251,129,148,94,22,10,38.9%,23.5%,12.1%,13.8%,8.8%,2.1%,0.9%,,0.0,2.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,701,6,75,,6075017803,178.03,Census Tract 178.03,G5020,S,189846,0,37.773426,-122.4120419,1.94144931811024e-05,0.0179880999942075
7,1,178.04,3298,135026,6075017804,"$3,298","$135,026",870,"1,866","1,866",712,619,175,161,186,11,2,38.2%,33.2%,9.4%,8.6%,10.0%,0.6%,0.1%,"$135,026",6.0,4.0,5.0,4.0,,,3.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,1.0,703,6,75,,6075017804,178.04,Census Tract 178.04,G5020,S,320289,0,37.7776291,-122.4067243,3.27558259414218e-05,0.0249179424841877
8,1,180.0,2345,136719,6075018000,"$2,345","$136,719",611,880,880,350,378,73,12,64,3,0,39.8%,43.0%,8.3%,1.4%,7.3%,0.3%,0.0%,"$136,719",0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121,6,75,,6075018000,180.0,Census Tract 180,G5020,S,933506,0,37.7753353,-122.4022844,9.54664556047646e-05,0.0534065049868825
9,1,201.01,2690,94209,6075020101,"$2,690","$94,209","1,017","1,541","1,541",681,425,157,150,81,37,10,44.2%,27.6%,10.2%,9.7%,5.3%,2.4%,0.6%,"$94,209",3.0,5.0,4.0,1.0,,,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,699,6,75,,6075020101,201.01,Census Tract 201.01,G5020,S,305225,0,37.7702373,-122.4201473,3.12118090732838e-05,0.0234216615078436
10,1,226.0,8544,229713,6075022600,"$8,544","$229,713","1,325","2,390","2,390","1,196",820,219,67,73,13,2,50.0%,34.3%,9.2%,2.8%,3.1%,0.5%,0.1%,"$229,713",3.0,5.0,4.0,0.0,,,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,475,6,75,,6075022600,226.0,Census Tract 226,G5020,S,1334366,503898,37.7612744,-122.3841166,0.0001879535548141,0.0610670777632042
11,1,227.02,3622,216875,6075022702,"$3,622","$216,875",595,"1,128","1,128",716,229,118,19,38,8,0,63.5%,20.3%,10.5%,1.7%,3.4%,0.7%,0.0%,"$216,875",1.0,1.0,1.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,66,6,75,,6075022702,227.02,Census Tract 227.02,G5020,S,295531,0,37.7626143,-122.3955143,3.0217533094401e-05,0.0219643205152717
12,1,227.04,6357,206042,6075022704,"$6,357","$206,042","1,099","1,601","1,601",917,341,227,52,52,8,4,57.3%,21.3%,14.2%,3.2%,3.2%,0.5%,0.2%,"$206,042",6.0,9.0,8.0,4.0,,,0.0,4.0,0.0,1.0,1.0,5.0,3.0,1.0,0.0,0.0,3.0,4.0,1.0,1.0,1.0,1719,6,75,,6075022704,227.04,Census Tract 227.04,G5020,S,544609,0,37.7609519,-122.4019893,5.5684558901703e-05,0.0289232661228601
13,1,228.02,1305,134000,6075022802,"$1,305","$134,000",347,824,824,340,193,126,28,122,9,6,41.3%,23.4%,15.3%,3.4%,14.8%,1.1%,0.7%,"$134,000",6.0,3.0,5.0,3.0,,,0.0,3.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,476,6,75,,6075022802,228.02,Census Tract 228.02,G5020,S,291253,0,37.7589131,-122.4062337,2.97791466437047e-05,0.0296418563678243
