,,,,,,,
,,,,,,,
Grade,Program Code,Program Name,School Name,Requests per seat,Total Requests,Total Assigned,Total Seats
1,GE,GE: General Education,Alamo ES,0.3,17,63,65
1,SA,SA: SDC - Extensive Services Autism Focus,Alamo ES,0.0,0,4,4
1,GE,GE: General Education,Alvarado ES,0.5,20,42,42
1,MS,MS: SDC - Extensive Services,Alvarado ES,0.0,0,2,3
1,SE,SE: Spanish Immersion (Non-Native),Alvarado ES,1.0,18,18,18
1,SN,SN: Spanish Immersion (Spanish Speakers),Alvarado ES,0.3,8,26,26
1,AF,AF: SDC - Mild/Mod Autism Focus,Argonne ES,0.0,0,3,3
1,GE,GE: General Education,Argonne ES,0.3,16,58,64
1,FB,FB: Filipino FLES,Carmichael (Bessie) K-8,0.1,2,22,22
1,GE,GE: General Education,Carmichael (Bessie) K-8,0.0,1,41,44
1,GE,GE: General Education,Harte (Bret) ES,0.1,3,22,22
1,SE,SE: Spanish Immersion (Non-Native),Harte (Bret) ES,0.3,1,4,4
1,SN,SN: Spanish Immersion (Spanish Speakers),Harte (Bret) ES,0.1,1,18,18
1,GE,GE: General Education,Bryant ES,0.0,1,18,22
1,SB,SB: Spanish Biliteracy,Bryant ES,0.1,3,22,22
1,GE,GE: General Education,Clarendon ES,0.6,26,42,42
1,JB,JB: Japanese Bilingual Bicultural Prgram,Clarendon ES,0.2,10,44,41
1,MM,MM: SDC - Mild to Moderate,Clarendon ES,0.5,1,3,2
1,GE,GE: General Education,Lilienthal (Claire) K-8,0.6,35,65,63
1,KE,KE: Korean Immersion (Non-Native),Lilienthal (Claire) K-8,1.0,9,9,9
1,KN,KN: Korean Immersion (Korean Speakers),Lilienthal (Claire) K-8,0.2,2,13,13
1,GE,GE: General Education,Cleveland ES,0.0,1,17,22
1,SB,SB: Spanish Biliteracy,Cleveland ES,0.0,0,38,44
1,CE,CE: Cantonese Immersion (All English),Yu (Alice Fong) K-8,0.5,23,44,44
1,CT,CT: Cantonese Immersion (All others),Yu (Alice Fong) K-8,1.3,28,24,22
1,GE,GE: General Education,Sloat (Commodore) ES,0.3,22,66,66
1,CB,CB: Cantonese Biliteracy,Lau (Gordon J) ES,0.0,2,61,66
1,GE,GE: General Education,Lau (Gordon J) ES,0.1,6,44,44
1,GE,GE: General Education,SF Community K-8,0.2,5,30,33
